step,event_index,event_type,amm,amm_trade_side,trader_side,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
8,0,arb,normalizer,sell,buy,sell,0.07055136445002574,7.053132388028318,100.04203460294946,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
9,0,arb,normalizer,sell,buy,sell,0.0017211494826767648,0.17219025592725778,100.0454739906732,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
9,1,retail,normalizer,buy,sell,buy,0.10573652585852315,10.50402612490143,100.0454739906732,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
10,0,arb,normalizer,sell,buy,sell,0.11529044450753645,11.523292095100684,100.06520297664015,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
10,1,retail,normalizer,buy,sell,buy,0.10071589288719321,10.007740697625195,100.06520297664015,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
11,0,arb,normalizer,sell,buy,sell,0.02391523749957969,2.3888600463453793,99.91246127540013,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
11,1,retail,normalizer,buy,sell,buy,0.04541010917932074,4.507817485458872,99.91246127540013,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
12,0,arb,normalizer,sell,buy,sell,0.08544553857232984,8.536640896432187,99.99262688241636,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
12,1,retail,normalizer,sell,buy,sell,0.045414688625868394,4.5431941190177705,99.99262688241636,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
12,2,retail,normalizer,sell,buy,sell,0.06239276856037179,6.248372944048816,99.99262688241636,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
12,3,retail,normalizer,buy,sell,buy,0.08835793200723263,8.793404814940004,99.99262688241636,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
12,4,retail,normalizer,sell,buy,sell,0.04331789778719042,4.335051466127516,99.99262688241636,0.0,99.06879039462903,99.9978877678998,0.0,127.91169983782542,False
15,0,retail,submission,sell,buy,sell,0.04065801629985799,4.0817819592118045,100.05654516501023,0.013681314985340975,99.14902194072656,100.12385687195554,0.0,127.91169983782542,True
15,1,retail,normalizer,sell,buy,sell,0.157125122639016,15.755882444929581,100.05654516501023,0.0,99.14902194072656,100.12385687195554,0.0,127.91169983782542,True
17,0,retail,submission,sell,buy,sell,0.1887287810995275,18.990414751231683,100.07719565982246,0.10296759849446246,99.4364761722515,100.11120315209533,0.0,102.39774956242783,False
17,1,retail,normalizer,sell,buy,sell,0.18779977667725234,18.896935742984418,100.07719565982246,0.0,99.4364761722515,100.11120315209533,0.0,102.39774956242783,False
17,2,retail,submission,buy,sell,buy,0.04346311600067914,4.323693007896509,100.07719565982246,0.02597375608901764,99.4364761722515,100.11120315209533,0.0,102.39774956242783,False
17,3,retail,normalizer,buy,sell,buy,0.387510230556612,38.68190080432032,100.07719565982246,0.0,99.4364761722515,100.11120315209533,0.0,102.39774956242783,False
18,0,arb,normalizer,sell,buy,sell,0.04990300086799948,4.994575291627226,100.13557486812107,0.0,99.4364761722515,100.11120315209533,0.0,102.39774956242783,False
18,1,retail,submission,sell,buy,sell,0.06339737043667526,6.373259681261361,100.13557486812107,0.02492754745766046,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,2,retail,normalizer,sell,buy,sell,0.22749508820238873,22.832250859710236,100.13557486812107,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,3,retail,submission,buy,sell,buy,0.23007144560581494,22.853981590604235,100.13557486812107,0.18435487587369082,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,4,retail,normalizer,buy,sell,buy,0.44515743764958593,44.31420328374588,100.13557486812107,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,5,retail,normalizer,sell,buy,sell,0.055780401504563315,5.5646289639704305,100.13557486812107,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,6,retail,submission,buy,sell,buy,0.021297293835060894,2.110258457980308,100.13557486812107,0.02235830332880573,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
18,7,retail,normalizer,buy,sell,buy,0.07727755807768034,7.661366062722664,100.13557486812107,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
19,0,arb,normalizer,sell,buy,sell,0.2265315295031911,22.62764110622293,100.11344546636744,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
19,1,retail,normalizer,sell,buy,sell,0.027181892806794394,2.7220121458737077,100.11344546636744,0.0,99.06475221428306,100.24865875873962,0.0,153.09699592148948,False
